frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
0,0,624,624,874,754,0.736499,1.000000,0.000000,orange,1.000000
0,1,1060,606,1687,1071,0.201365,1.000000,0.000000,orange,1.000000
0,2,1051,568,1877,1074,0.101858,1.000000,0.000000,orange,1.000000
3,0,624,624,874,754,0.722270,1.000000,0.000000,orange,1.000000
3,1,1060,605,1712,1071,0.210564,1.000000,0.000000,orange,1.000000
6,0,624,626,875,754,0.875548,1.000000,0.000000,orange,1.000000
6,1,1058,608,1617,1070,0.088040,1.000000,0.000000,orange,1.000000
9,0,624,626,875,754,0.892348,1.000000,0.000000,orange,1.000000
12,0,624,625,874,754,0.788299,1.000000,0.000000,orange,1.000000
15,0,624,625,874,754,0.774994,1.000000,0.000000,orange,1.000000
18,0,624,625,874,754,0.634699,1.000000,0.000000,orange,1.000000
21,0,624,625,874,754,0.726889,1.000000,0.000000,orange,1.000000
24,0,624,625,874,754,0.455274,1.000000,0.000000,orange,1.000000
27,0,624,625,874,754,0.618926,1.000000,0.000000,orange,1.000000
30,0,624,625,874,754,0.684814,1.000000,0.000000,orange,1.000000
33,0,624,625,874,754,0.668292,1.000000,0.000000,orange,1.000000
36,0,625,625,874,754,0.575966,1.000000,0.000000,orange,1.000000
39,0,625,625,874,754,0.574861,1.000000,0.000000,orange,1.000000
42,0,624,625,874,754,0.637414,1.000000,0.000000,orange,1.000000
45,0,624,625,874,754,0.491802,1.000000,0.000000,orange,1.000000
48,0,622,625,875,754,0.683760,1.000000,0.000000,orange,1.000000
51,0,622,625,874,754,0.663684,1.000000,0.000000,orange,1.000000
54,0,623,626,875,754,0.891564,1.000000,0.000000,orange,1.000000
57,0,623,626,875,754,0.886359,1.000000,0.000000,orange,1.000000
60,0,625,626,875,753,0.809494,1.000000,0.000000,orange,1.000000
63,0,624,626,875,753,0.781647,1.000000,0.000000,orange,1.000000
72,0,628,629,875,754,0.580359,1.000000,0.000000,orange,1.000000
75,0,628,629,875,754,0.605149,1.000000,0.000000,orange,1.000000
78,0,628,628,875,753,0.645736,1.000000,0.000000,orange,1.000000
81,0,628,628,875,753,0.635094,1.000000,0.000000,orange,1.000000
