source,frame_index,source_seconds,wall_timestamp,chosen_identity,runtime_identity,confidence,orange_evidence,goblin_evidence,torso_core_white_ratio,torso_core_black_blob_count,goblin_support_frame,contamination_downgraded
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,368,73.532,2026-04-20 01:45:50,orange,unknown,0.9998,0.9998,0.0002,0.0002,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,419,83.750,2026-04-20 01:46:00,orange,unknown,0.9997,0.9997,0.0003,0.0003,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,420,83.917,2026-04-20 01:46:00,orange,orange,0.9998,0.9998,0.0002,0.0002,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,421,84.126,2026-04-20 01:46:00,orange,orange,0.9996,0.9996,0.0004,0.0004,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,422,84.334,2026-04-20 01:46:01,orange,orange,0.9996,0.9996,0.0004,0.0004,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,423,84.543,2026-04-20 01:46:01,orange,orange,0.9996,0.9996,0.0004,0.0004,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,424,84.751,2026-04-20 01:46:01,orange,orange,0.9997,0.9997,0.0003,0.0003,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,425,84.918,2026-04-20 01:46:01,orange,orange,0.9994,0.9994,0.0006,0.0006,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,426,85.127,2026-04-20 01:46:01,orange,orange,0.9996,0.9996,0.0004,0.0004,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,427,85.335,2026-04-20 01:46:02,orange,orange,0.9997,0.9997,0.0003,0.0003,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,428,85.544,2026-04-20 01:46:02,orange,orange,0.9996,0.9996,0.0004,0.0004,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,444,88.755,2026-04-20 01:46:05,orange,unknown,0.9997,0.9997,0.0003,0.0003,0,0,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,738,147.522,2026-04-20 01:47:05,white_black_dotted,unknown,1.0000,0.0000,1.0000,1.0000,0,1,0
C:\Users\PC\Desktop\Projects\tapo-orange\datasets\sample\video\goblin-steal-food-compilation.mp4,739,147.731,2026-04-20 01:47:05,white_black_dotted,possible_goblin,1.0000,0.0000,1.0000,1.0000,0,1,0
