frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
0,0,759,884,1165,1153,0.907972,1.000000,0.000000,orange,1.000000
0,1,1109,845,1317,1097,0.175647,0.046972,0.953028,goblin,0.953028
1,0,755,790,1168,1153,0.929661,0.999590,0.000410,orange,0.999590
1,1,1105,844,1317,1102,0.593684,0.040147,0.959853,goblin,0.959853
1,2,1014,829,1316,1102,0.080732,0.006332,0.993668,goblin,0.993668
2,0,744,893,1165,1153,0.893909,1.000000,0.000000,orange,1.000000
2,1,1048,845,1316,1105,0.711460,0.013907,0.986093,goblin,0.986093
3,0,720,877,1102,1154,0.913908,1.000000,0.000000,orange,1.000000
3,1,1085,863,1317,1104,0.251748,0.084727,0.915273,goblin,0.915273
4,0,693,836,1085,1153,0.939989,0.999998,0.000002,orange,0.999998
4,1,1056,857,1267,1104,0.805620,0.001592,0.998408,goblin,0.998408
5,0,640,798,1034,1151,0.932110,1.000000,0.000000,orange,1.000000
5,1,1042,828,1249,1110,0.705652,0.000108,0.999892,goblin,0.999892
6,0,622,779,1004,1138,0.943408,0.999999,0.000001,orange,0.999999
6,1,1045,824,1221,1111,0.870114,0.000064,0.999936,goblin,0.999936
7,0,604,801,962,1131,0.952281,1.000000,0.000000,orange,1.000000
8,0,576,776,879,1125,0.948744,0.999998,0.000002,orange,0.999998
8,1,903,793,1180,1084,0.655354,0.000000,1.000000,goblin,1.000000
9,0,561,770,843,1125,0.942158,0.999990,0.000010,orange,0.999990
9,1,864,783,1173,1078,0.860815,0.000009,0.999991,goblin,0.999991
10,0,539,785,825,1122,0.942476,0.999858,0.000142,orange,0.999858
11,0,531,801,823,1123,0.927842,0.995647,0.004353,orange,0.995647
12,0,528,801,830,1125,0.922699,0.918355,0.081645,orange,0.918355
13,0,524,794,838,1125,0.915849,0.573054,0.426946,orange,0.573054
13,1,671,832,739,894,0.316811,0.000892,0.999108,goblin,0.999108
14,0,525,788,843,1123,0.908570,0.079487,0.920513,goblin,0.920513
14,1,605,809,906,1040,0.760778,0.016670,0.983330,goblin,0.983330
15,0,527,801,852,1115,0.851173,0.100837,0.899163,goblin,0.899163
16,0,497,806,860,1113,0.900095,0.529015,0.470985,orange,0.529015
16,1,495,783,817,955,0.507458,0.000000,1.000000,goblin,1.000000
17,0,527,825,868,1113,0.903722,0.994181,0.005819,orange,0.994181
17,1,454,801,720,1018,0.677849,0.000447,0.999553,goblin,0.999553
18,0,521,825,865,1114,0.897782,0.997866,0.002134,orange,0.997866
18,1,429,782,750,1023,0.448306,0.000828,0.999172,goblin,0.999172
19,0,506,831,860,1114,0.868901,0.999308,0.000693,orange,0.999308
19,1,402,788,734,1023,0.354683,0.001011,0.998989,goblin,0.998989
20,0,504,846,859,1112,0.505348,0.999666,0.000334,orange,0.999666
21,0,505,852,857,1112,0.872944,0.999617,0.000383,orange,0.999617
21,1,366,791,683,1017,0.303786,0.000085,0.999915,goblin,0.999915
22,0,507,853,865,1113,0.799573,0.999717,0.000283,orange,0.999717
23,0,503,871,888,1113,0.917902,0.999996,0.000004,orange,0.999996
23,1,370,829,524,1014,0.444269,0.504419,0.495581,orange,0.504419
24,0,501,872,892,1112,0.922299,0.999996,0.000004,orange,0.999996
24,1,359,819,553,1014,0.499466,0.112975,0.887025,goblin,0.887025
25,0,504,871,892,1111,0.923605,0.999996,0.000004,orange,0.999996
26,0,503,871,885,1111,0.930228,0.999997,0.000003,orange,0.999997
27,0,502,870,861,1111,0.934788,0.999998,0.000002,orange,0.999998
28,0,502,869,857,1111,0.936590,0.999998,0.000002,orange,0.999998
29,0,503,871,891,1111,0.940986,0.999994,0.000006,orange,0.999994
30,0,504,871,891,1113,0.941152,0.999987,0.000013,orange,0.999987
31,0,504,871,897,1113,0.941986,0.999994,0.000006,orange,0.999994
32,0,504,872,878,1114,0.936201,0.999997,0.000003,orange,0.999997
33,0,504,871,868,1113,0.936650,0.999997,0.000003,orange,0.999997
34,0,504,871,880,1113,0.937547,0.999997,0.000003,orange,0.999997
35,0,504,871,892,1113,0.939037,0.999988,0.000012,orange,0.999988
36,0,504,873,893,1113,0.929113,0.999989,0.000011,orange,0.999989
37,0,505,872,898,1113,0.930475,0.999993,0.000007,orange,0.999993
38,0,504,873,889,1113,0.935314,0.999989,0.000011,orange,0.999989
39,0,504,872,875,1113,0.931376,0.999996,0.000004,orange,0.999996
40,0,505,869,872,1112,0.938254,0.999994,0.000006,orange,0.999994
41,0,507,877,896,1113,0.894267,0.999996,0.000004,orange,0.999996
42,0,512,874,893,1112,0.939061,0.999995,0.000005,orange,0.999995
43,0,511,872,898,1112,0.948290,0.999996,0.000004,orange,0.999996
44,0,511,871,878,1113,0.942635,0.999998,0.000002,orange,0.999998
45,0,512,872,868,1112,0.943709,0.999999,0.000001,orange,0.999999
46,0,512,872,895,1112,0.946519,0.999997,0.000003,orange,0.999997
